aliquot	rt	datetime	injection_time	compound	target_class	area	compound_is	area_is	batch	type	rt_is
5	4.4	2026-05-20 12:58:04	1779274684	LPC 15:0	LPC	8023.0	IS LPC 18:1(d7)	56421.0	batch_1	sample	4.4
6	5.4	2026-05-20 12:59:04	1779274744	LPC 15:0	LPC	4707.0	IS LPC 18:1(d7)	49716.0	batch_1	sample	5.4
7	6.4	2026-05-20 13:00:04	1779274804	LPC 15:0	LPC	4595.0	IS LPC 18:1(d7)	60675.0	batch_1	sample	6.4
8	7.4	2026-05-20 13:01:04	1779274864	LPC 15:0	LPC	3856.0	IS LPC 18:1(d7)	60921.0	batch_1	sample	7.4
9	8.4	2026-05-20 13:02:04	1779274924	LPC 15:0	LPC	2769.0	IS LPC 18:1(d7)	47837.0	batch_1	sample	8.4
10	9.4	2026-05-20 13:03:04	1779274984	LPC 15:0	LPC	5081.0	IS LPC 18:1(d7)	49744.0	batch_1	sample	9.4
11	10.4	2026-05-20 13:04:04	1779275044	LPC 15:0	LPC	6539.0	IS LPC 18:1(d7)	54331.0	batch_1	sample	10.4
12	11.4	2026-05-20 13:05:04	1779275104	LPC 15:0	LPC	4037.0	IS LPC 18:1(d7)	48254.0	batch_1	sample	11.4
13	12.4	2026-05-20 13:06:04	1779275164	LPC 15:0	LPC	4092.0	IS LPC 18:1(d7)	54432.0	batch_1	sample	12.4
14	13.4	2026-05-20 13:07:04	1779275224	LPC 15:0	LPC	2588.0	IS LPC 18:1(d7)	45867.0	batch_1	sample	13.4
15	14.4	2026-05-20 13:08:04	1779275284	LPC 15:0	LPC	8861.0	IS LPC 18:1(d7)	65191.0	batch_1	sample	14.4
16	15.4	2026-05-20 13:09:04	1779275344	LPC 15:0	LPC	5582.0	IS LPC 18:1(d7)	54296.0	batch_1	sample	15.4
17	16.4	2026-05-20 13:10:04	1779275404	LPC 15:0	LPC	3256.0	IS LPC 18:1(d7)	56910.0	batch_1	sample	16.4
18	17.4	2026-05-20 13:11:04	1779275464	LPC 15:0	LPC	2856.0	IS LPC 18:1(d7)	59081.0	batch_1	sample	17.4
19	18.4	2026-05-20 13:12:04	1779275524	LPC 15:0	LPC	6376.0	IS LPC 18:1(d7)	53897.0	batch_1	sample	18.4
20	19.4	2026-05-20 13:13:04	1779275584	LPC 15:0	LPC	6646.0	IS LPC 18:1(d7)	50871.0	batch_1	sample	19.4
21	20.4	2026-05-20 13:14:04	1779275644	LPC 15:0	LPC	3483.0	IS LPC 18:1(d7)	68102.0	batch_1	sample	20.4
22	21.4	2026-05-20 13:15:04	1779275704	LPC 15:0	LPC	3126.0	IS LPC 18:1(d7)	46701.0	batch_1	sample	21.4
23	22.4	2026-05-20 13:16:04	1779275764	LPC 15:0	LPC	3497.0	IS LPC 18:1(d7)	50431.0	batch_1	sample	22.4
24	23.4	2026-05-20 13:17:04	1779275824	LPC 15:0	LPC	4835.0	IS LPC 18:1(d7)	64921.0	batch_1	sample	23.4
25	24.4	2026-05-20 13:18:04	1779275884	LPC 15:0	LPC	8591.0	IS LPC 18:1(d7)	51548.0	batch_1	sample	24.4
26	25.4	2026-05-20 13:19:04	1779275944	LPC 15:0	LPC	4502.0	IS LPC 18:1(d7)	51821.0	batch_1	sample	25.4
27	26.4	2026-05-20 13:20:04	1779276004	LPC 15:0	LPC	14249.0	IS LPC 18:1(d7)	41440.0	batch_1	sample	26.4
28	27.4	2026-05-20 13:21:04	1779276064	LPC 15:0	LPC	4387.0	IS LPC 18:1(d7)	56106.0	batch_1	sample	27.4
29	28.4	2026-05-20 13:22:04	1779276124	LPC 15:0	LPC	6053.0	IS LPC 18:1(d7)	42488.0	batch_1	sample	28.4
30	29.4	2026-05-20 13:23:04	1779276184	LPC 15:0	LPC	5668.0	IS LPC 18:1(d7)	51519.0	batch_1	sample	29.4
31	30.4	2026-05-20 13:24:04	1779276244	LPC 15:0	LPC	3654.0	IS LPC 18:1(d7)	60379.0	batch_1	sample	30.4
32	31.4	2026-05-20 13:25:04	1779276304	LPC 15:0	LPC	5744.0	IS LPC 18:1(d7)	62256.0	batch_1	sample	31.4
33	32.4	2026-05-20 13:26:04	1779276364	LPC 15:0	LPC	4538.0	IS LPC 18:1(d7)	50571.0	batch_1	sample	32.4
34	33.4	2026-05-20 13:27:04	1779276424	LPC 15:0	LPC	5774.0	IS LPC 18:1(d7)	54936.0	batch_1	sample	33.4
35	34.4	2026-05-20 13:28:04	1779276484	LPC 15:0	LPC	7164.0	IS LPC 18:1(d7)	56209.0	batch_1	sample	34.4
36	35.4	2026-05-20 13:29:04	1779276544	LPC 15:0	LPC	5459.0	IS LPC 18:1(d7)	55176.0	batch_1	sample	35.4
37	36.4	2026-05-20 13:30:04	1779276604	LPC 15:0	LPC	5233.0	IS LPC 18:1(d7)	53066.0	batch_1	sample	36.4
38	37.4	2026-05-20 13:31:04	1779276664	LPC 15:0	LPC	8309.0	IS LPC 18:1(d7)	47617.0	batch_1	sample	37.4
39	38.4	2026-05-20 13:32:04	1779276724	LPC 15:0	LPC	2087.0	IS LPC 18:1(d7)	64186.0	batch_1	sample	38.4
40	39.4	2026-05-20 13:33:04	1779276784	LPC 15:0	LPC	5835.0	IS LPC 18:1(d7)	60178.0	batch_1	sample	39.4
41	40.4	2026-05-20 13:34:04	1779276844	LPC 15:0	LPC	5206.0	IS LPC 18:1(d7)	50570.0	batch_1	sample	40.4
42	41.4	2026-05-20 13:35:04	1779276904	LPC 15:0	LPC	4686.0	IS LPC 18:1(d7)	51970.0	batch_1	sample	41.4
43	42.4	2026-05-20 13:36:04	1779276964	LPC 15:0	LPC	6531.0	IS LPC 18:1(d7)	46237.0	batch_1	sample	42.4
44	43.4	2026-05-20 13:37:04	1779277024	LPC 15:0	LPC	4857.0	IS LPC 18:1(d7)	57289.0	batch_1	sample	43.4
45	44.4	2026-05-20 13:38:04	1779277084	LPC 15:0	LPC	8960.0	IS LPC 18:1(d7)	62224.0	batch_1	sample	44.4
46	45.4	2026-05-20 13:39:04	1779277144	LPC 15:0	LPC	4979.0	IS LPC 18:1(d7)	53816.0	batch_1	sample	45.4
47	46.4	2026-05-20 13:40:04	1779277204	LPC 15:0	LPC	5552.0	IS LPC 18:1(d7)	52881.0	batch_1	sample	46.4
48	47.4	2026-05-20 13:41:04	1779277264	LPC 15:0	LPC	5146.0	IS LPC 18:1(d7)	51333.0	batch_1	sample	47.4
49	48.4	2026-05-20 13:42:04	1779277324	LPC 15:0	LPC	2578.0	IS LPC 18:1(d7)	50086.0	batch_1	sample	48.4
50	49.4	2026-05-20 13:43:04	1779277384	LPC 15:0	LPC	3994.0	IS LPC 18:1(d7)	62829.0	batch_1	sample	49.4
51	50.4	2026-05-20 13:44:04	1779277444	LPC 15:0	LPC	5036.0	IS LPC 18:1(d7)	59503.0	batch_1	sample	50.4
52	51.4	2026-05-20 13:45:04	1779277504	LPC 15:0	LPC	4323.0	IS LPC 18:1(d7)	59314.0	batch_1	sample	51.4
53	52.4	2026-05-20 13:46:04	1779277564	LPC 15:0	LPC	5262.0	IS LPC 18:1(d7)	60900.0	batch_1	sample	52.4
54	53.4	2026-05-20 13:47:04	1779277624	LPC 15:0	LPC	3863.0	IS LPC 18:1(d7)	61087.0	batch_1	sample	53.4
55	54.4	2026-05-20 13:48:04	1779277684	LPC 15:0	LPC	8208.0	IS LPC 18:1(d7)	56109.0	batch_1	sample	54.4
56	55.4	2026-05-20 13:49:04	1779277744	LPC 15:0	LPC	5930.0	IS LPC 18:1(d7)	52075.0	batch_1	sample	55.4
57	56.4	2026-05-20 13:50:04	1779277804	LPC 15:0	LPC	4116.0	IS LPC 18:1(d7)	60234.0	batch_1	sample	56.4
58	57.4	2026-05-20 13:51:04	1779277864	LPC 15:0	LPC	4381.0	IS LPC 18:1(d7)	51539.0	batch_1	sample	57.4
59	58.4	2026-05-20 13:52:04	1779277924	LPC 15:0	LPC	4297.0	IS LPC 18:1(d7)	50712.0	batch_1	sample	58.4
60	59.4	2026-05-20 13:53:04	1779277984	LPC 15:0	LPC	13514.0	IS LPC 18:1(d7)	45164.0	batch_1	sample	59.4
61	60.4	2026-05-20 13:54:04	1779278044	LPC 15:0	LPC	3789.0	IS LPC 18:1(d7)	60887.0	batch_1	sample	60.4
62	61.4	2026-05-20 13:55:04	1779278104	LPC 15:0	LPC	6066.0	IS LPC 18:1(d7)	51250.0	batch_1	sample	61.4
63	62.4	2026-05-20 13:56:04	1779278164	LPC 15:0	LPC	8291.0	IS LPC 18:1(d7)	50699.0	batch_1	sample	62.4
64	63.4	2026-05-20 13:57:04	1779278224	LPC 15:0	LPC	4560.0	IS LPC 18:1(d7)	60367.0	batch_1	sample	63.4
65	64.4	2026-05-20 13:58:04	1779278284	LPC 15:0	LPC	8195.0	IS LPC 18:1(d7)	64913.0	batch_1	sample	64.4
66	65.4	2026-05-20 13:59:04	1779278344	LPC 15:0	LPC	5683.0	IS LPC 18:1(d7)	54705.0	batch_1	sample	65.4
67	66.4	2026-05-20 14:00:04	1779278404	LPC 15:0	LPC	567.0	IS LPC 18:1(d7)	347.0	batch_1	sample	66.4
68	67.4	2026-05-20 14:01:04	1779278464	LPC 15:0	LPC	25.0	IS LPC 18:1(d7)		batch_1	sample	67.4
1	0.4	2026-05-20 12:54:04	1779274444	LPC 16:1	LPC	16111.0	IS LPC 18:1(d7)	36129.0	batch_1	sample	0.4
2	1.4	2026-05-20 12:55:04	1779274504	LPC 16:1	LPC	15960.0	IS LPC 18:1(d7)	40514.0	batch_1	sample	1.4
3	2.4	2026-05-20 12:56:04	1779274564	LPC 16:1	LPC	17424.0	IS LPC 18:1(d7)	44505.0	batch_1	sample	2.4
4	3.4	2026-05-20 12:57:04	1779274624	LPC 16:1	LPC	102.0	IS LPC 18:1(d7)	25.0	batch_1	sample	3.4
5	4.4	2026-05-20 12:58:04	1779274684	LPC 16:1	LPC	23467.0	IS LPC 18:1(d7)	56421.0	batch_1	sample	4.4
6	5.4	2026-05-20 12:59:04	1779274744	LPC 16:1	LPC	16017.0	IS LPC 18:1(d7)	49716.0	batch_1	sample	5.4
7	6.4	2026-05-20 13:00:04	1779274804	LPC 16:1	LPC	16284.0	IS LPC 18:1(d7)	60675.0	batch_1	sample	6.4
8	7.4	2026-05-20 13:01:04	1779274864	LPC 16:1	LPC	12107.0	IS LPC 18:1(d7)	60921.0	batch_1	sample	7.4
9	8.4	2026-05-20 13:02:04	1779274924	LPC 16:1	LPC	10952.0	IS LPC 18:1(d7)	47837.0	batch_1	sample	8.4
10	9.4	2026-05-20 13:03:04	1779274984	LPC 16:1	LPC	16353.0	IS LPC 18:1(d7)	49744.0	batch_1	sample	9.4
11	10.4	2026-05-20 13:04:04	1779275044	LPC 16:1	LPC	22226.0	IS LPC 18:1(d7)	54331.0	batch_1	sample	10.4
12	11.4	2026-05-20 13:05:04	1779275104	LPC 16:1	LPC	14353.0	IS LPC 18:1(d7)	48254.0	batch_1	sample	11.4
13	12.4	2026-05-20 13:06:04	1779275164	LPC 16:1	LPC	16233.0	IS LPC 18:1(d7)	54432.0	batch_1	sample	12.4
14	13.4	2026-05-20 13:07:04	1779275224	LPC 16:1	LPC	13488.0	IS LPC 18:1(d7)	45867.0	batch_1	sample	13.4
15	14.4	2026-05-20 13:08:04	1779275284	LPC 16:1	LPC	27274.0	IS LPC 18:1(d7)	65191.0	batch_1	sample	14.4
16	15.4	2026-05-20 13:09:04	1779275344	LPC 16:1	LPC	19743.0	IS LPC 18:1(d7)	54296.0	batch_1	sample	15.4
17	16.4	2026-05-20 13:10:04	1779275404	LPC 16:1	LPC	8567.0	IS LPC 18:1(d7)	56910.0	batch_1	sample	16.4
18	17.4	2026-05-20 13:11:04	1779275464	LPC 16:1	LPC	7756.0	IS LPC 18:1(d7)	59081.0	batch_1	sample	17.4
19	18.4	2026-05-20 13:12:04	1779275524	LPC 16:1	LPC	18147.0	IS LPC 18:1(d7)	53897.0	batch_1	sample	18.4
20	19.4	2026-05-20 13:13:04	1779275584	LPC 16:1	LPC	15189.0	IS LPC 18:1(d7)	50871.0	batch_1	sample	19.4
21	20.4	2026-05-20 13:14:04	1779275644	LPC 16:1	LPC	9876.0	IS LPC 18:1(d7)	68102.0	batch_1	sample	20.4
22	21.4	2026-05-20 13:15:04	1779275704	LPC 16:1	LPC	14810.0	IS LPC 18:1(d7)	46701.0	batch_1	sample	21.4
23	22.4	2026-05-20 13:16:04	1779275764	LPC 16:1	LPC	16772.0	IS LPC 18:1(d7)	50431.0	batch_1	sample	22.4
24	23.4	2026-05-20 13:17:04	1779275824	LPC 16:1	LPC	13368.0	IS LPC 18:1(d7)	64921.0	batch_1	sample	23.4
25	24.4	2026-05-20 13:18:04	1779275884	LPC 16:1	LPC	23651.0	IS LPC 18:1(d7)	51548.0	batch_1	sample	24.4
26	25.4	2026-05-20 13:19:04	1779275944	LPC 16:1	LPC	15313.0	IS LPC 18:1(d7)	51821.0	batch_1	sample	25.4
27	26.4	2026-05-20 13:20:04	1779276004	LPC 16:1	LPC	53934.0	IS LPC 18:1(d7)	41440.0	batch_1	sample	26.4
28	27.4	2026-05-20 13:21:04	1779276064	LPC 16:1	LPC	14555.0	IS LPC 18:1(d7)	56106.0	batch_1	sample	27.4
29	28.4	2026-05-20 13:22:04	1779276124	LPC 16:1	LPC	32923.0	IS LPC 18:1(d7)	42488.0	batch_1	sample	28.4
30	29.4	2026-05-20 13:23:04	1779276184	LPC 16:1	LPC	14403.0	IS LPC 18:1(d7)	51519.0	batch_1	sample	29.4
31	30.4	2026-05-20 13:24:04	1779276244	LPC 16:1	LPC	9688.0	IS LPC 18:1(d7)	60379.0	batch_1	sample	30.4
32	31.4	2026-05-20 13:25:04	1779276304	LPC 16:1	LPC	14174.0	IS LPC 18:1(d7)	62256.0	batch_1	sample	31.4
33	32.4	2026-05-20 13:26:04	1779276364	LPC 16:1	LPC	25614.0	IS LPC 18:1(d7)	50571.0	batch_1	sample	32.4
34	33.4	2026-05-20 13:27:04	1779276424	LPC 16:1	LPC	13335.0	IS LPC 18:1(d7)	54936.0	batch_1	sample	33.4
35	34.4	2026-05-20 13:28:04	1779276484	LPC 16:1	LPC	24822.0	IS LPC 18:1(d7)	56209.0	batch_1	sample	34.4
36	35.4	2026-05-20 13:29:04	1779276544	LPC 16:1	LPC	17431.0	IS LPC 18:1(d7)	55176.0	batch_1	sample	35.4
37	36.4	2026-05-20 13:30:04	1779276604	LPC 16:1	LPC	18451.0	IS LPC 18:1(d7)	53066.0	batch_1	sample	36.4
38	37.4	2026-05-20 13:31:04	1779276664	LPC 16:1	LPC	40597.0	IS LPC 18:1(d7)	47617.0	batch_1	sample	37.4
39	38.4	2026-05-20 13:32:04	1779276724	LPC 16:1	LPC	7691.0	IS LPC 18:1(d7)	64186.0	batch_1	sample	38.4
40	39.4	2026-05-20 13:33:04	1779276784	LPC 16:1	LPC	19473.0	IS LPC 18:1(d7)	60178.0	batch_1	sample	39.4
41	40.4	2026-05-20 13:34:04	1779276844	LPC 16:1	LPC	19140.0	IS LPC 18:1(d7)	50570.0	batch_1	sample	40.4
42	41.4	2026-05-20 13:35:04	1779276904	LPC 16:1	LPC	21531.0	IS LPC 18:1(d7)	51970.0	batch_1	sample	41.4
43	42.4	2026-05-20 13:36:04	1779276964	LPC 16:1	LPC	23111.0	IS LPC 18:1(d7)	46237.0	batch_1	sample	42.4
44	43.4	2026-05-20 13:37:04	1779277024	LPC 16:1	LPC	15816.0	IS LPC 18:1(d7)	57289.0	batch_1	sample	43.4
45	44.4	2026-05-20 13:38:04	1779277084	LPC 16:1	LPC	26414.0	IS LPC 18:1(d7)	62224.0	batch_1	sample	44.4
46	45.4	2026-05-20 13:39:04	1779277144	LPC 16:1	LPC	16272.0	IS LPC 18:1(d7)	53816.0	batch_1	sample	45.4
47	46.4	2026-05-20 13:40:04	1779277204	LPC 16:1	LPC	13746.0	IS LPC 18:1(d7)	52881.0	batch_1	sample	46.4
48	47.4	2026-05-20 13:41:04	1779277264	LPC 16:1	LPC	15558.0	IS LPC 18:1(d7)	51333.0	batch_1	sample	47.4
49	48.4	2026-05-20 13:42:04	1779277324	LPC 16:1	LPC	23193.0	IS LPC 18:1(d7)	50086.0	batch_1	sample	48.4
50	49.4	2026-05-20 13:43:04	1779277384	LPC 16:1	LPC	10497.0	IS LPC 18:1(d7)	62829.0	batch_1	sample	49.4
51	50.4	2026-05-20 13:44:04	1779277444	LPC 16:1	LPC	16333.0	IS LPC 18:1(d7)	59503.0	batch_1	sample	50.4
52	51.4	2026-05-20 13:45:04	1779277504	LPC 16:1	LPC	13058.0	IS LPC 18:1(d7)	59314.0	batch_1	sample	51.4
53	52.4	2026-05-20 13:46:04	1779277564	LPC 16:1	LPC	17579.0	IS LPC 18:1(d7)	60900.0	batch_1	sample	52.4
54	53.4	2026-05-20 13:47:04	1779277624	LPC 16:1	LPC	13135.0	IS LPC 18:1(d7)	61087.0	batch_1	sample	53.4
55	54.4	2026-05-20 13:48:04	1779277684	LPC 16:1	LPC	21881.0	IS LPC 18:1(d7)	56109.0	batch_1	sample	54.4
56	55.4	2026-05-20 13:49:04	1779277744	LPC 16:1	LPC	16014.0	IS LPC 18:1(d7)	52075.0	batch_1	sample	55.4
57	56.4	2026-05-20 13:50:04	1779277804	LPC 16:1	LPC	12413.0	IS LPC 18:1(d7)	60234.0	batch_1	sample	56.4
