rt	datetime	injection_time	compound	target_class	area	compound_is	area_is	batch	type	rt_is	class	aliquot
3.4	2026-05-20 12:57:04	1779274624	LPC 14:0	LPC	360.0	IS LPC 18:1(d7)	25.0	batch_1	BLANK	3.4	LPC	2312ALU_0001BLANK_A1
4.4	2026-05-20 12:58:04	1779274684	LPC 14:0	LPC	11868.0	IS LPC 18:1(d7)	56421.0	batch_1	LQC	4.4	LPC	2312ALU_0001LQC_A1
5.4	2026-05-20 12:59:04	1779274744	LPC 14:0	LPC	6464.0	IS LPC 18:1(d7)	49716.0	batch_1	SQC	5.4	LPC	2312ALU_0001SQC_A1
6.4	2026-05-20 13:00:04	1779274804	LPC 14:0	LPC	8322.0	IS LPC 18:1(d7)	60675.0	batch_1	sample	6.4	LPC	2312ALU_0001_A1
7.4	2026-05-20 13:01:04	1779274864	LPC 14:0	LPC	5795.0	IS LPC 18:1(d7)	60921.0	batch_1	sample	7.4	LPC	2312ALU_0002_A1
8.4	2026-05-20 13:02:04	1779274924	LPC 14:0	LPC	3761.0	IS LPC 18:1(d7)	47837.0	batch_1	sample	8.4	LPC	2312ALU_0003_A1
9.4	2026-05-20 13:03:04	1779274984	LPC 14:0	LPC	9063.0	IS LPC 18:1(d7)	49744.0	batch_1	sample	9.4	LPC	2312ALU_0004_A1
10.4	2026-05-20 13:04:04	1779275044	LPC 14:0	LPC	6626.0	IS LPC 18:1(d7)	54331.0	batch_1	sample	10.4	LPC	2312ALU_0005_A1
11.4	2026-05-20 13:05:04	1779275104	LPC 14:0	LPC	5867.0	IS LPC 18:1(d7)	48254.0	batch_1	sample	11.4	LPC	2312ALU_0006_A1
12.4	2026-05-20 13:06:04	1779275164	LPC 14:0	LPC	6355.0	IS LPC 18:1(d7)	54432.0	batch_1	sample	12.4	LPC	2312ALU_0007_A1
13.4	2026-05-20 13:07:04	1779275224	LPC 14:0	LPC	4276.0	IS LPC 18:1(d7)	45867.0	batch_1	sample	13.4	LPC	2312ALU_0008_A1
14.4	2026-05-20 13:08:04	1779275284	LPC 14:0	LPC	12917.0	IS LPC 18:1(d7)	65191.0	batch_1	LQC	14.4	LPC	2312ALU_0001LQC_B1
15.4	2026-05-20 13:09:04	1779275344	LPC 14:0	LPC	7332.0	IS LPC 18:1(d7)	54296.0	batch_1	SQC	15.4	LPC	2312ALU_0001SQC_B1
16.4	2026-05-20 13:10:04	1779275404	LPC 14:0	LPC	3390.0	IS LPC 18:1(d7)	56910.0	batch_1	sample	16.4	LPC	2312ALU_0009_A1
17.4	2026-05-20 13:11:04	1779275464	LPC 14:0	LPC	3462.0	IS LPC 18:1(d7)	59081.0	batch_1	sample	17.4	LPC	2312ALU_0010_A1
18.4	2026-05-20 13:12:04	1779275524	LPC 14:0	LPC	10412.0	IS LPC 18:1(d7)	53897.0	batch_1	sample	18.4	LPC	2312ALU_0011_A1
19.4	2026-05-20 13:13:04	1779275584	LPC 14:0	LPC	7501.0	IS LPC 18:1(d7)	50871.0	batch_1	sample	19.4	LPC	2312ALU_0012_A1
20.4	2026-05-20 13:14:04	1779275644	LPC 14:0	LPC	4350.0	IS LPC 18:1(d7)	68102.0	batch_1	sample	20.4	LPC	2312ALU_0013_A1
21.4	2026-05-20 13:15:04	1779275704	LPC 14:0	LPC	5307.0	IS LPC 18:1(d7)	46701.0	batch_1	sample	21.4	LPC	2312ALU_0014_A1
22.4	2026-05-20 13:16:04	1779275764	LPC 14:0	LPC	6538.0	IS LPC 18:1(d7)	50431.0	batch_1	sample	22.4	LPC	2312ALU_0015_A1
23.4	2026-05-20 13:17:04	1779275824	LPC 14:0	LPC	5370.0	IS LPC 18:1(d7)	64921.0	batch_1	sample	23.4	LPC	2312ALU_0016_A1
24.4	2026-05-20 13:18:04	1779275884	LPC 14:0	LPC	10687.0	IS LPC 18:1(d7)	51548.0	batch_1	LQC	24.4	LPC	2312ALU_0001LQC_C1
25.4	2026-05-20 13:19:04	1779275944	LPC 14:0	LPC	5907.0	IS LPC 18:1(d7)	51821.0	batch_1	SQC	25.4	LPC	2312ALU_0001SQC_C1
26.4	2026-05-20 13:20:04	1779276004	LPC 14:0	LPC	18045.0	IS LPC 18:1(d7)	41440.0	batch_1	sample	26.4	LPC	2312ALU_0017_A1
27.4	2026-05-20 13:21:04	1779276064	LPC 14:0	LPC	6069.0	IS LPC 18:1(d7)	56106.0	batch_1	sample	27.4	LPC	2312ALU_0018_A1
28.4	2026-05-20 13:22:04	1779276124	LPC 14:0	LPC	12729.0	IS LPC 18:1(d7)	42488.0	batch_1	sample	28.4	LPC	2312ALU_0019_A1
29.4	2026-05-20 13:23:04	1779276184	LPC 14:0	LPC	6671.0	IS LPC 18:1(d7)	51519.0	batch_1	sample	29.4	LPC	2312ALU_0020_A1
30.4	2026-05-20 13:24:04	1779276244	LPC 14:0	LPC	3954.0	IS LPC 18:1(d7)	60379.0	batch_1	sample	30.4	LPC	2312ALU_0021_A1
31.4	2026-05-20 13:25:04	1779276304	LPC 14:0	LPC	6766.0	IS LPC 18:1(d7)	62256.0	batch_1	sample	31.4	LPC	2312ALU_0022_A1
32.4	2026-05-20 13:26:04	1779276364	LPC 14:0	LPC	7541.0	IS LPC 18:1(d7)	50571.0	batch_1	sample	32.4	LPC	2312ALU_0023_A1
33.4	2026-05-20 13:27:04	1779276424	LPC 14:0	LPC	5588.0	IS LPC 18:1(d7)	54936.0	batch_1	sample	33.4	LPC	2312ALU_0024_A1
34.4	2026-05-20 13:28:04	1779276484	LPC 14:0	LPC	10754.0	IS LPC 18:1(d7)	56209.0	batch_1	LQC	34.4	LPC	2312ALU_0001LQC_D1
35.4	2026-05-20 13:29:04	1779276544	LPC 14:0	LPC	7216.0	IS LPC 18:1(d7)	55176.0	batch_1	SQC	35.4	LPC	2312ALU_0001SQC_D1
36.4	2026-05-20 13:30:04	1779276604	LPC 14:0	LPC	8568.0	IS LPC 18:1(d7)	53066.0	batch_1	sample	36.4	LPC	2312ALU_0025_A1
37.4	2026-05-20 13:31:04	1779276664	LPC 14:0	LPC	16688.0	IS LPC 18:1(d7)	47617.0	batch_1	sample	37.4	LPC	2312ALU_0026_A1
38.4	2026-05-20 13:32:04	1779276724	LPC 14:0	LPC	3114.0	IS LPC 18:1(d7)	64186.0	batch_1	sample	38.4	LPC	2312ALU_0027_A1
39.4	2026-05-20 13:33:04	1779276784	LPC 14:0	LPC	6774.0	IS LPC 18:1(d7)	60178.0	batch_1	sample	39.4	LPC	2312ALU_0028_A1
40.4	2026-05-20 13:34:04	1779276844	LPC 14:0	LPC	6587.0	IS LPC 18:1(d7)	50570.0	batch_1	sample	40.4	LPC	2312ALU_0029_A1
41.4	2026-05-20 13:35:04	1779276904	LPC 14:0	LPC	6222.0	IS LPC 18:1(d7)	51970.0	batch_1	sample	41.4	LPC	2312ALU_0030_A1
42.4	2026-05-20 13:36:04	1779276964	LPC 14:0	LPC	11381.0	IS LPC 18:1(d7)	46237.0	batch_1	sample	42.4	LPC	2312ALU_0031_A1
43.4	2026-05-20 13:37:04	1779277024	LPC 14:0	LPC	6911.0	IS LPC 18:1(d7)	57289.0	batch_1	sample	43.4	LPC	2312ALU_0032_A1
44.4	2026-05-20 13:38:04	1779277084	LPC 14:0	LPC	14033.0	IS LPC 18:1(d7)	62224.0	batch_1	LQC	44.4	LPC	2312ALU_0001LQC_E1
45.4	2026-05-20 13:39:04	1779277144	LPC 14:0	LPC	7182.0	IS LPC 18:1(d7)	53816.0	batch_1	SQC	45.4	LPC	2312ALU_0001SQC_E1
46.4	2026-05-20 13:40:04	1779277204	LPC 14:0	LPC	8201.0	IS LPC 18:1(d7)	52881.0	batch_1	sample	46.4	LPC	2312ALU_0033_A1
47.4	2026-05-20 13:41:04	1779277264	LPC 14:0	LPC	5092.0	IS LPC 18:1(d7)	51333.0	batch_1	sample	47.4	LPC	2312ALU_0034_A1
48.4	2026-05-20 13:42:04	1779277324	LPC 14:0	LPC	7667.0	IS LPC 18:1(d7)	50086.0	batch_1	sample	48.4	LPC	2312ALU_0035_A1
49.4	2026-05-20 13:43:04	1779277384	LPC 14:0	LPC	5451.0	IS LPC 18:1(d7)	62829.0	batch_1	sample	49.4	LPC	2312ALU_0036_A1
50.4	2026-05-20 13:44:04	1779277444	LPC 14:0	LPC	8756.0	IS LPC 18:1(d7)	59503.0	batch_1	sample	50.4	LPC	2312ALU_0037_A1
51.4	2026-05-20 13:45:04	1779277504	LPC 14:0	LPC	4887.0	IS LPC 18:1(d7)	59314.0	batch_1	sample	51.4	LPC	2312ALU_0038_A1
52.4	2026-05-20 13:46:04	1779277564	LPC 14:0	LPC	6678.0	IS LPC 18:1(d7)	60900.0	batch_1	sample	52.4	LPC	2312ALU_0039_A1
53.4	2026-05-20 13:47:04	1779277624	LPC 14:0	LPC	4770.0	IS LPC 18:1(d7)	61087.0	batch_1	sample	53.4	LPC	2312ALU_0040_A1
54.4	2026-05-20 13:48:04	1779277684	LPC 14:0	LPC	11598.0	IS LPC 18:1(d7)	56109.0	batch_1	LQC	54.4	LPC	2312ALU_0001LQC_F1
55.4	2026-05-20 13:49:04	1779277744	LPC 14:0	LPC	7377.0	IS LPC 18:1(d7)	52075.0	batch_1	SQC	55.4	LPC	2312ALU_0001SQC_F1
56.4	2026-05-20 13:50:04	1779277804	LPC 14:0	LPC	5734.0	IS LPC 18:1(d7)	60234.0	batch_1	sample	56.4	LPC	2312ALU_0041_A1
57.4	2026-05-20 13:51:04	1779277864	LPC 14:0	LPC	5215.0	IS LPC 18:1(d7)	51539.0	batch_1	sample	57.4	LPC	2312ALU_0042_A1
58.4	2026-05-20 13:52:04	1779277924	LPC 14:0	LPC	7260.0	IS LPC 18:1(d7)	50712.0	batch_1	sample	58.4	LPC	2312ALU_0043_A1
59.4	2026-05-20 13:53:04	1779277984	LPC 14:0	LPC	10407.0	IS LPC 18:1(d7)	45164.0	batch_1	sample	59.4	LPC	2312ALU_0044_A1
60.4	2026-05-20 13:54:04	1779278044	LPC 14:0	LPC	4704.0	IS LPC 18:1(d7)	60887.0	batch_1	sample	60.4	LPC	2312ALU_0045_A1
61.4	2026-05-20 13:55:04	1779278104	LPC 14:0	LPC	6384.0	IS LPC 18:1(d7)	51250.0	batch_1	sample	61.4	LPC	2312ALU_0046_A1
62.4	2026-05-20 13:56:04	1779278164	LPC 14:0	LPC	9005.0	IS LPC 18:1(d7)	50699.0	batch_1	sample	62.4	LPC	2312ALU_0047_A1
63.4	2026-05-20 13:57:04	1779278224	LPC 14:0	LPC	6401.0	IS LPC 18:1(d7)	60367.0	batch_1	sample	63.4	LPC	2312ALU_0048_A1
64.4	2026-05-20 13:58:04	1779278284	LPC 14:0	LPC	13106.0	IS LPC 18:1(d7)	64913.0	batch_1	LQC	64.4	LPC	2312ALU_0001LQC_G1
65.4	2026-05-20 13:59:04	1779278344	LPC 14:0	LPC	6549.0	IS LPC 18:1(d7)	54705.0	batch_1	SQC	65.4	LPC	2312ALU_0001SQC_G1
66.4	2026-05-20 14:00:04	1779278404	LPC 14:0	LPC	536.0	IS LPC 18:1(d7)	347.0	batch_1	BLANK	66.4	LPC	2312ALU_0001BLANK_B1
3.4	2026-05-20 12:57:04	1779274624	LPC 15:0	LPC	229.0	IS LPC 18:1(d7)	25.0	batch_1	BLANK	3.4	LPC	2312ALU_0001BLANK_A1
4.4	2026-05-20 12:58:04	1779274684	LPC 15:0	LPC	8023.0	IS LPC 18:1(d7)	56421.0	batch_1	LQC	4.4	LPC	2312ALU_0001LQC_A1
5.4	2026-05-20 12:59:04	1779274744	LPC 15:0	LPC	4707.0	IS LPC 18:1(d7)	49716.0	batch_1	SQC	5.4	LPC	2312ALU_0001SQC_A1
6.4	2026-05-20 13:00:04	1779274804	LPC 15:0	LPC	4595.0	IS LPC 18:1(d7)	60675.0	batch_1	sample	6.4	LPC	2312ALU_0001_A1
7.4	2026-05-20 13:01:04	1779274864	LPC 15:0	LPC	3856.0	IS LPC 18:1(d7)	60921.0	batch_1	sample	7.4	LPC	2312ALU_0002_A1
8.4	2026-05-20 13:02:04	1779274924	LPC 15:0	LPC	2769.0	IS LPC 18:1(d7)	47837.0	batch_1	sample	8.4	LPC	2312ALU_0003_A1
9.4	2026-05-20 13:03:04	1779274984	LPC 15:0	LPC	5081.0	IS LPC 18:1(d7)	49744.0	batch_1	sample	9.4	LPC	2312ALU_0004_A1
10.4	2026-05-20 13:04:04	1779275044	LPC 15:0	LPC	6539.0	IS LPC 18:1(d7)	54331.0	batch_1	sample	10.4	LPC	2312ALU_0005_A1
11.4	2026-05-20 13:05:04	1779275104	LPC 15:0	LPC	4037.0	IS LPC 18:1(d7)	48254.0	batch_1	sample	11.4	LPC	2312ALU_0006_A1
12.4	2026-05-20 13:06:04	1779275164	LPC 15:0	LPC	4092.0	IS LPC 18:1(d7)	54432.0	batch_1	sample	12.4	LPC	2312ALU_0007_A1
13.4	2026-05-20 13:07:04	1779275224	LPC 15:0	LPC	2588.0	IS LPC 18:1(d7)	45867.0	batch_1	sample	13.4	LPC	2312ALU_0008_A1
14.4	2026-05-20 13:08:04	1779275284	LPC 15:0	LPC	8861.0	IS LPC 18:1(d7)	65191.0	batch_1	LQC	14.4	LPC	2312ALU_0001LQC_B1
15.4	2026-05-20 13:09:04	1779275344	LPC 15:0	LPC	5582.0	IS LPC 18:1(d7)	54296.0	batch_1	SQC	15.4	LPC	2312ALU_0001SQC_B1
16.4	2026-05-20 13:10:04	1779275404	LPC 15:0	LPC	3256.0	IS LPC 18:1(d7)	56910.0	batch_1	sample	16.4	LPC	2312ALU_0009_A1
17.4	2026-05-20 13:11:04	1779275464	LPC 15:0	LPC	2856.0	IS LPC 18:1(d7)	59081.0	batch_1	sample	17.4	LPC	2312ALU_0010_A1
18.4	2026-05-20 13:12:04	1779275524	LPC 15:0	LPC	6376.0	IS LPC 18:1(d7)	53897.0	batch_1	sample	18.4	LPC	2312ALU_0011_A1
19.4	2026-05-20 13:13:04	1779275584	LPC 15:0	LPC	6646.0	IS LPC 18:1(d7)	50871.0	batch_1	sample	19.4	LPC	2312ALU_0012_A1
20.4	2026-05-20 13:14:04	1779275644	LPC 15:0	LPC	3483.0	IS LPC 18:1(d7)	68102.0	batch_1	sample	20.4	LPC	2312ALU_0013_A1
21.4	2026-05-20 13:15:04	1779275704	LPC 15:0	LPC	3126.0	IS LPC 18:1(d7)	46701.0	batch_1	sample	21.4	LPC	2312ALU_0014_A1
22.4	2026-05-20 13:16:04	1779275764	LPC 15:0	LPC	3497.0	IS LPC 18:1(d7)	50431.0	batch_1	sample	22.4	LPC	2312ALU_0015_A1
23.4	2026-05-20 13:17:04	1779275824	LPC 15:0	LPC	4835.0	IS LPC 18:1(d7)	64921.0	batch_1	sample	23.4	LPC	2312ALU_0016_A1
24.4	2026-05-20 13:18:04	1779275884	LPC 15:0	LPC	8591.0	IS LPC 18:1(d7)	51548.0	batch_1	LQC	24.4	LPC	2312ALU_0001LQC_C1
25.4	2026-05-20 13:19:04	1779275944	LPC 15:0	LPC	4502.0	IS LPC 18:1(d7)	51821.0	batch_1	SQC	25.4	LPC	2312ALU_0001SQC_C1
26.4	2026-05-20 13:20:04	1779276004	LPC 15:0	LPC	14249.0	IS LPC 18:1(d7)	41440.0	batch_1	sample	26.4	LPC	2312ALU_0017_A1
27.4	2026-05-20 13:21:04	1779276064	LPC 15:0	LPC	4387.0	IS LPC 18:1(d7)	56106.0	batch_1	sample	27.4	LPC	2312ALU_0018_A1
28.4	2026-05-20 13:22:04	1779276124	LPC 15:0	LPC	6053.0	IS LPC 18:1(d7)	42488.0	batch_1	sample	28.4	LPC	2312ALU_0019_A1
29.4	2026-05-20 13:23:04	1779276184	LPC 15:0	LPC	5668.0	IS LPC 18:1(d7)	51519.0	batch_1	sample	29.4	LPC	2312ALU_0020_A1
30.4	2026-05-20 13:24:04	1779276244	LPC 15:0	LPC	3654.0	IS LPC 18:1(d7)	60379.0	batch_1	sample	30.4	LPC	2312ALU_0021_A1
31.4	2026-05-20 13:25:04	1779276304	LPC 15:0	LPC	5744.0	IS LPC 18:1(d7)	62256.0	batch_1	sample	31.4	LPC	2312ALU_0022_A1
32.4	2026-05-20 13:26:04	1779276364	LPC 15:0	LPC	4538.0	IS LPC 18:1(d7)	50571.0	batch_1	sample	32.4	LPC	2312ALU_0023_A1
33.4	2026-05-20 13:27:04	1779276424	LPC 15:0	LPC	5774.0	IS LPC 18:1(d7)	54936.0	batch_1	sample	33.4	LPC	2312ALU_0024_A1
34.4	2026-05-20 13:28:04	1779276484	LPC 15:0	LPC	7164.0	IS LPC 18:1(d7)	56209.0	batch_1	LQC	34.4	LPC	2312ALU_0001LQC_D1
35.4	2026-05-20 13:29:04	1779276544	LPC 15:0	LPC	5459.0	IS LPC 18:1(d7)	55176.0	batch_1	SQC	35.4	LPC	2312ALU_0001SQC_D1
36.4	2026-05-20 13:30:04	1779276604	LPC 15:0	LPC	5233.0	IS LPC 18:1(d7)	53066.0	batch_1	sample	36.4	LPC	2312ALU_0025_A1
37.4	2026-05-20 13:31:04	1779276664	LPC 15:0	LPC	8309.0	IS LPC 18:1(d7)	47617.0	batch_1	sample	37.4	LPC	2312ALU_0026_A1
38.4	2026-05-20 13:32:04	1779276724	LPC 15:0	LPC	2087.0	IS LPC 18:1(d7)	64186.0	batch_1	sample	38.4	LPC	2312ALU_0027_A1
39.4	2026-05-20 13:33:04	1779276784	LPC 15:0	LPC	5835.0	IS LPC 18:1(d7)	60178.0	batch_1	sample	39.4	LPC	2312ALU_0028_A1
40.4	2026-05-20 13:34:04	1779276844	LPC 15:0	LPC	5206.0	IS LPC 18:1(d7)	50570.0	batch_1	sample	40.4	LPC	2312ALU_0029_A1
41.4	2026-05-20 13:35:04	1779276904	LPC 15:0	LPC	4686.0	IS LPC 18:1(d7)	51970.0	batch_1	sample	41.4	LPC	2312ALU_0030_A1
42.4	2026-05-20 13:36:04	1779276964	LPC 15:0	LPC	6531.0	IS LPC 18:1(d7)	46237.0	batch_1	sample	42.4	LPC	2312ALU_0031_A1
43.4	2026-05-20 13:37:04	1779277024	LPC 15:0	LPC	4857.0	IS LPC 18:1(d7)	57289.0	batch_1	sample	43.4	LPC	2312ALU_0032_A1
44.4	2026-05-20 13:38:04	1779277084	LPC 15:0	LPC	8960.0	IS LPC 18:1(d7)	62224.0	batch_1	LQC	44.4	LPC	2312ALU_0001LQC_E1
45.4	2026-05-20 13:39:04	1779277144	LPC 15:0	LPC	4979.0	IS LPC 18:1(d7)	53816.0	batch_1	SQC	45.4	LPC	2312ALU_0001SQC_E1
46.4	2026-05-20 13:40:04	1779277204	LPC 15:0	LPC	5552.0	IS LPC 18:1(d7)	52881.0	batch_1	sample	46.4	LPC	2312ALU_0033_A1
47.4	2026-05-20 13:41:04	1779277264	LPC 15:0	LPC	5146.0	IS LPC 18:1(d7)	51333.0	batch_1	sample	47.4	LPC	2312ALU_0034_A1
48.4	2026-05-20 13:42:04	1779277324	LPC 15:0	LPC	2578.0	IS LPC 18:1(d7)	50086.0	batch_1	sample	48.4	LPC	2312ALU_0035_A1
49.4	2026-05-20 13:43:04	1779277384	LPC 15:0	LPC	3994.0	IS LPC 18:1(d7)	62829.0	batch_1	sample	49.4	LPC	2312ALU_0036_A1
50.4	2026-05-20 13:44:04	1779277444	LPC 15:0	LPC	5036.0	IS LPC 18:1(d7)	59503.0	batch_1	sample	50.4	LPC	2312ALU_0037_A1
51.4	2026-05-20 13:45:04	1779277504	LPC 15:0	LPC	4323.0	IS LPC 18:1(d7)	59314.0	batch_1	sample	51.4	LPC	2312ALU_0038_A1
52.4	2026-05-20 13:46:04	1779277564	LPC 15:0	LPC	5262.0	IS LPC 18:1(d7)	60900.0	batch_1	sample	52.4	LPC	2312ALU_0039_A1
53.4	2026-05-20 13:47:04	1779277624	LPC 15:0	LPC	3863.0	IS LPC 18:1(d7)	61087.0	batch_1	sample	53.4	LPC	2312ALU_0040_A1
54.4	2026-05-20 13:48:04	1779277684	LPC 15:0	LPC	8208.0	IS LPC 18:1(d7)	56109.0	batch_1	LQC	54.4	LPC	2312ALU_0001LQC_F1
55.4	2026-05-20 13:49:04	1779277744	LPC 15:0	LPC	5930.0	IS LPC 18:1(d7)	52075.0	batch_1	SQC	55.4	LPC	2312ALU_0001SQC_F1
56.4	2026-05-20 13:50:04	1779277804	LPC 15:0	LPC	4116.0	IS LPC 18:1(d7)	60234.0	batch_1	sample	56.4	LPC	2312ALU_0041_A1
57.4	2026-05-20 13:51:04	1779277864	LPC 15:0	LPC	4381.0	IS LPC 18:1(d7)	51539.0	batch_1	sample	57.4	LPC	2312ALU_0042_A1
58.4	2026-05-20 13:52:04	1779277924	LPC 15:0	LPC	4297.0	IS LPC 18:1(d7)	50712.0	batch_1	sample	58.4	LPC	2312ALU_0043_A1
59.4	2026-05-20 13:53:04	1779277984	LPC 15:0	LPC	13514.0	IS LPC 18:1(d7)	45164.0	batch_1	sample	59.4	LPC	2312ALU_0044_A1
60.4	2026-05-20 13:54:04	1779278044	LPC 15:0	LPC	3789.0	IS LPC 18:1(d7)	60887.0	batch_1	sample	60.4	LPC	2312ALU_0045_A1
61.4	2026-05-20 13:55:04	1779278104	LPC 15:0	LPC	6066.0	IS LPC 18:1(d7)	51250.0	batch_1	sample	61.4	LPC	2312ALU_0046_A1
62.4	2026-05-20 13:56:04	1779278164	LPC 15:0	LPC	8291.0	IS LPC 18:1(d7)	50699.0	batch_1	sample	62.4	LPC	2312ALU_0047_A1
63.4	2026-05-20 13:57:04	1779278224	LPC 15:0	LPC	4560.0	IS LPC 18:1(d7)	60367.0	batch_1	sample	63.4	LPC	2312ALU_0048_A1
64.4	2026-05-20 13:58:04	1779278284	LPC 15:0	LPC	8195.0	IS LPC 18:1(d7)	64913.0	batch_1	LQC	64.4	LPC	2312ALU_0001LQC_G1
65.4	2026-05-20 13:59:04	1779278344	LPC 15:0	LPC	5683.0	IS LPC 18:1(d7)	54705.0	batch_1	SQC	65.4	LPC	2312ALU_0001SQC_G1
66.4	2026-05-20 14:00:04	1779278404	LPC 15:0	LPC	567.0	IS LPC 18:1(d7)	347.0	batch_1	BLANK	66.4	LPC	2312ALU_0001BLANK_B1
3.4	2026-05-20 12:57:04	1779274624	LPC 16:1	LPC	102.0	IS LPC 18:1(d7)	25.0	batch_1	BLANK	3.4	LPC	2312ALU_0001BLANK_A1
4.4	2026-05-20 12:58:04	1779274684	LPC 16:1	LPC	23467.0	IS LPC 18:1(d7)	56421.0	batch_1	LQC	4.4	LPC	2312ALU_0001LQC_A1
5.4	2026-05-20 12:59:04	1779274744	LPC 16:1	LPC	16017.0	IS LPC 18:1(d7)	49716.0	batch_1	SQC	5.4	LPC	2312ALU_0001SQC_A1
6.4	2026-05-20 13:00:04	1779274804	LPC 16:1	LPC	16284.0	IS LPC 18:1(d7)	60675.0	batch_1	sample	6.4	LPC	2312ALU_0001_A1
7.4	2026-05-20 13:01:04	1779274864	LPC 16:1	LPC	12107.0	IS LPC 18:1(d7)	60921.0	batch_1	sample	7.4	LPC	2312ALU_0002_A1
8.4	2026-05-20 13:02:04	1779274924	LPC 16:1	LPC	10952.0	IS LPC 18:1(d7)	47837.0	batch_1	sample	8.4	LPC	2312ALU_0003_A1
9.4	2026-05-20 13:03:04	1779274984	LPC 16:1	LPC	16353.0	IS LPC 18:1(d7)	49744.0	batch_1	sample	9.4	LPC	2312ALU_0004_A1
10.4	2026-05-20 13:04:04	1779275044	LPC 16:1	LPC	22226.0	IS LPC 18:1(d7)	54331.0	batch_1	sample	10.4	LPC	2312ALU_0005_A1
11.4	2026-05-20 13:05:04	1779275104	LPC 16:1	LPC	14353.0	IS LPC 18:1(d7)	48254.0	batch_1	sample	11.4	LPC	2312ALU_0006_A1
12.4	2026-05-20 13:06:04	1779275164	LPC 16:1	LPC	16233.0	IS LPC 18:1(d7)	54432.0	batch_1	sample	12.4	LPC	2312ALU_0007_A1
13.4	2026-05-20 13:07:04	1779275224	LPC 16:1	LPC	13488.0	IS LPC 18:1(d7)	45867.0	batch_1	sample	13.4	LPC	2312ALU_0008_A1
14.4	2026-05-20 13:08:04	1779275284	LPC 16:1	LPC	27274.0	IS LPC 18:1(d7)	65191.0	batch_1	LQC	14.4	LPC	2312ALU_0001LQC_B1
15.4	2026-05-20 13:09:04	1779275344	LPC 16:1	LPC	19743.0	IS LPC 18:1(d7)	54296.0	batch_1	SQC	15.4	LPC	2312ALU_0001SQC_B1
16.4	2026-05-20 13:10:04	1779275404	LPC 16:1	LPC	8567.0	IS LPC 18:1(d7)	56910.0	batch_1	sample	16.4	LPC	2312ALU_0009_A1
17.4	2026-05-20 13:11:04	1779275464	LPC 16:1	LPC	7756.0	IS LPC 18:1(d7)	59081.0	batch_1	sample	17.4	LPC	2312ALU_0010_A1
18.4	2026-05-20 13:12:04	1779275524	LPC 16:1	LPC	18147.0	IS LPC 18:1(d7)	53897.0	batch_1	sample	18.4	LPC	2312ALU_0011_A1
19.4	2026-05-20 13:13:04	1779275584	LPC 16:1	LPC	15189.0	IS LPC 18:1(d7)	50871.0	batch_1	sample	19.4	LPC	2312ALU_0012_A1
20.4	2026-05-20 13:14:04	1779275644	LPC 16:1	LPC	9876.0	IS LPC 18:1(d7)	68102.0	batch_1	sample	20.4	LPC	2312ALU_0013_A1
21.4	2026-05-20 13:15:04	1779275704	LPC 16:1	LPC	14810.0	IS LPC 18:1(d7)	46701.0	batch_1	sample	21.4	LPC	2312ALU_0014_A1
22.4	2026-05-20 13:16:04	1779275764	LPC 16:1	LPC	16772.0	IS LPC 18:1(d7)	50431.0	batch_1	sample	22.4	LPC	2312ALU_0015_A1
23.4	2026-05-20 13:17:04	1779275824	LPC 16:1	LPC	13368.0	IS LPC 18:1(d7)	64921.0	batch_1	sample	23.4	LPC	2312ALU_0016_A1
24.4	2026-05-20 13:18:04	1779275884	LPC 16:1	LPC	23651.0	IS LPC 18:1(d7)	51548.0	batch_1	LQC	24.4	LPC	2312ALU_0001LQC_C1
25.4	2026-05-20 13:19:04	1779275944	LPC 16:1	LPC	15313.0	IS LPC 18:1(d7)	51821.0	batch_1	SQC	25.4	LPC	2312ALU_0001SQC_C1
26.4	2026-05-20 13:20:04	1779276004	LPC 16:1	LPC	53934.0	IS LPC 18:1(d7)	41440.0	batch_1	sample	26.4	LPC	2312ALU_0017_A1
27.4	2026-05-20 13:21:04	1779276064	LPC 16:1	LPC	14555.0	IS LPC 18:1(d7)	56106.0	batch_1	sample	27.4	LPC	2312ALU_0018_A1
28.4	2026-05-20 13:22:04	1779276124	LPC 16:1	LPC	32923.0	IS LPC 18:1(d7)	42488.0	batch_1	sample	28.4	LPC	2312ALU_0019_A1
29.4	2026-05-20 13:23:04	1779276184	LPC 16:1	LPC	14403.0	IS LPC 18:1(d7)	51519.0	batch_1	sample	29.4	LPC	2312ALU_0020_A1
30.4	2026-05-20 13:24:04	1779276244	LPC 16:1	LPC	9688.0	IS LPC 18:1(d7)	60379.0	batch_1	sample	30.4	LPC	2312ALU_0021_A1
31.4	2026-05-20 13:25:04	1779276304	LPC 16:1	LPC	14174.0	IS LPC 18:1(d7)	62256.0	batch_1	sample	31.4	LPC	2312ALU_0022_A1
32.4	2026-05-20 13:26:04	1779276364	LPC 16:1	LPC	25614.0	IS LPC 18:1(d7)	50571.0	batch_1	sample	32.4	LPC	2312ALU_0023_A1
33.4	2026-05-20 13:27:04	1779276424	LPC 16:1	LPC	13335.0	IS LPC 18:1(d7)	54936.0	batch_1	sample	33.4	LPC	2312ALU_0024_A1
34.4	2026-05-20 13:28:04	1779276484	LPC 16:1	LPC	24822.0	IS LPC 18:1(d7)	56209.0	batch_1	LQC	34.4	LPC	2312ALU_0001LQC_D1
